ID,"[[x,y,angle,distNext,distTotal]]"
1,"[[109,685,53,10,0],[117,679,57,10,10],[125,674,56,11,20],[134,668,57,10,31],[142,663,53,10,40],[150,657,60,11,50],[159,652,57,10,60],[167,647,56,11,70],[176,641,57,10,81],[184,636,60,11,90],[193,631,57,10,100],[201,626,56,11,110],[210,620,60,11,121],[219,615,57,10,131],[227,610,60,11,140],[236,605,66,10,151],[245,601,60,11,161],[254,596,57,10,171],[262,591,60,11,180],[271,586,66,10,191],[280,582,60,11,200],[289,577,66,10,211],[298,573,60,11,221],[307,568,66,10,231],[316,564,66,10,241],[325,560,66,10,251],[334,556,66,10,260],[343,552,68,11,270],[353,548,66,10,281],[362,544,71,10,291],[371,541,68,11,300],[381,537,71,10,311],[390,534,66,10,321],[399,530,73,11,331],[409,527,73,11,341],[419,524,71,10,351],[428,521,78,11,361],[438,519,71,10,371],[447,516,78,11,381],[457,514,78,11,391],[467,512,78,11,401],[477,510,78,11,411],[487,508,83,10,421],[496,507,78,11,430],[506,505,84,11,441],[516,504,84,11,451],[526,503,90,10,461],[536,503,84,11,471],[546,502,90,10,481],[556,502,96,11,491],[566,503,90,10,501],[576,503,96,11,511],[586,504,96,11,521],[596,505,96,11,531],[606,506,102,11,541],[616,508,102,11,551],[626,510,109,10,561],[635,513,102,11,571],[645,515,107,11,581],[655,518,114,10,591],[664,522,114,10,601],[673,526,114,10,611],[682,530,112,11,621],[692,534,123,10,632],[700,539,114,10,641],[709,543,124,11,651],[718,549,123,10,662],[726,554,127,10,671],[734,560,127,10,681],[742,566,127,10,691],[750,572,127,10,701],[758,578,135,10,711],[765,585,132,11,721],[773,592,135,10,732],[780,599,135,10,742],[787,606,140,10,752],[793,613,139,11,761],[800,621,135,10,772],[807,628,144,10,781],[813,636,144,10,791],[819,644,144,10,801],[825,652,144,10,811],[831,660,151,11,821],[836,669,144,10,832],[842,677,144,10,842],]"
2,"[[900,690,303,10,0],[892,685,303,10,10],[884,680,300,11,19],[875,675,307,10,30],[867,669,300,11,40],[858,664,303,10,50],[850,659,304,11,59],[841,653,303,10,70],[833,648,300,11,80],[824,643,307,10,90],[816,637,300,11,100],[807,632,303,10,110],[799,627,304,11,120],[790,621,303,10,130],[782,616,300,11,140],[773,611,303,10,150],[765,606,304,11,160],[756,600,303,10,170],[748,595,300,11,180],[739,590,303,10,190],[731,585,304,11,200],[722,579,303,10,210],[714,574,300,11,220],[705,569,300,11,230],[696,564,303,10,240],[688,559,300,11,250],[679,554,307,10,260],[671,548,300,11,270],[662,543,300,11,280],[653,538,303,10,291],[645,533,300,11,300],[636,528,300,11,311],[627,523,303,10,321],[619,518,294,10,330],[610,514,300,11,340],[601,509,300,11,350],[592,504,303,10,361],[584,499,300,11,370],[575,494,294,10,380],[566,490,300,11,390],[557,485,294,10,401],[548,481,300,11,410],[539,476,294,10,421],[530,472,294,10,431],[521,468,300,11,440],[512,463,294,10,451],[503,459,294,10,461],[494,455,292,11,470],[484,451,289,10,481],[475,448,294,10,491],[466,444,294,10,501],[457,440,287,11,510],[447,437,289,10,521],[438,434,287,11,530],[428,431,287,11,541],[418,428,283,10,551],[409,426,287,11,560],[399,423,282,11,571],[389,421,276,11,581],[379,420,282,11,591],[369,418,276,11,601],[359,417,270,10,611],[349,417,270,10,621],[339,417,270,10,631],[329,417,270,10,641],[319,417,257,10,651],[310,419,264,11,661],[300,420,258,11,671],[290,422,253,11,681],[280,425,251,10,691],[271,428,248,11,701],[261,432,246,10,711],[252,436,237,10,721],[244,441,240,11,731],[235,446,240,11,741],[226,451,233,10,751],[218,457,233,10,761],[210,463,229,10,771],[203,469,228,11,781],[195,476,225,10,791],[188,483,225,10,801],[181,490,225,10,811],[174,497,221,11,821],[167,505,220,10,832],[161,512,221,11,841],[154,520,216,10,851],[148,528,216,10,861],[142,536,216,10,871],[136,544,216,10,881],[130,552,212,10,891],[125,560,213,11,901],[119,569,212,10,912],[114,577,213,11,921],[108,586,212,10,932],[103,594,209,11,941],[98,603,212,10,952],[93,611,209,11,961],[88,620,209,11,971],[83,629,212,10,982],[78,637,209,11,991],[73,646,203,10,1001],[69,655,209,11,1011],[64,664,203,10,1022],[60,673,209,11,1031],[55,682,209,11,1042],]"
3,"[[50,690,60,11,0],[59,685,60,11,11],[68,680,57,10,21],[76,675,60,11,31],[85,670,53,10,41],[93,664,60,11,51],[102,659,57,10,61],[110,654,60,11,71],[119,649,53,10,81],[127,643,60,11,91],[136,638,57,10,101],[144,633,56,11,111],[153,627,57,10,121],[161,622,60,11,131],[170,617,53,10,141],[178,611,57,10,151],[186,606,56,11,161],[195,600,57,10,171],[203,595,60,11,181],[212,590,53,10,191],[220,584,53,10,201],[228,578,60,11,211],[237,573,53,10,221],[245,567,57,10,231],[253,562,53,10,241],[261,556,56,11,251],[270,550,53,10,262],[278,544,57,10,272],[286,539,53,10,281],[294,533,53,10,291],[302,527,53,10,301],[310,521,53,10,311],[318,515,53,10,321],[326,509,53,10,331],[334,503,53,10,341],[342,497,53,10,351],[350,491,53,10,361],[358,485,53,10,371],[366,479,48,11,381],[374,472,49,10,392],[381,466,53,10,401],[389,460,48,11,411],[397,453,53,10,422],[405,447,45,10,432],[412,440,53,10,441],[420,434,45,10,451],[427,427,53,10,461],[435,421,45,10,471],[442,414,53,10,481],[450,408,45,10,491],[457,401,48,11,501],[465,394,45,10,512],[472,387,49,10,522],[479,381,48,11,531],[487,374,45,10,542],[494,367,45,10,551],[501,360,45,10,561],[508,353,45,10,571],[515,346,48,11,581],[523,339,45,10,592],[530,332,45,10,602],[537,325,45,10,612],[544,318,45,10,621],[551,311,41,11,631],[558,303,45,10,642],[565,296,45,10,652],[572,289,45,10,662],[579,282,41,11,672],[586,274,40,10,682],[592,267,45,10,692],[599,260,45,10,701],[606,253,41,11,711],[613,245,45,10,722],[620,238,40,10,732],[626,231,41,11,741],[633,223,45,10,752],[640,216,41,11,762],[647,208,40,10,772],[653,201,41,11,781],[660,193,45,10,792],[667,186,40,10,802],[673,179,41,11,811],[680,171,45,10,822],[687,164,36,10,832],[693,156,41,11,842],[700,148,40,10,852],[706,141,41,11,862],[713,133,45,10,872],[720,126,36,10,882],[726,118,45,10,892],[733,111,36,10,902],[739,103,45,10,912],[746,96,36,10,922],[752,88,41,11,932],[759,80,40,10,943],[765,73,41,11,952],[772,65,36,10,962],[778,57,45,10,972],[785,50,36,10,982],[791,42,45,10,992],[798,35,36,10,1002],[804,27,36,10,1012],[810,19,45,10,1022],[817,12,36,10,1032],[823,4,41,11,1042],[830,-4,40,10,1053],[836,-11,41,11,1062],[843,-19,36,10,1073],[849,-27,40,10,1083],[855,-34,41,11,1092],[862,-42,36,10,1102],[868,-50,41,11,1112],[875,-58,40,10,1123],[881,-65,40,10,1132],]"
4,"[[150,690,36,10,0],[156,682,29,11,10],[161,673,32,10,21],[166,665,29,11,30],[171,656,32,10,41],[176,648,33,11,50],[182,639,32,10,61],[187,631,29,11,70],[192,622,36,10,81],[198,614,29,11,91],[203,605,32,10,101],[208,597,29,11,110],[213,588,36,10,121],[219,580,29,11,131],[224,571,36,10,141],[230,563,29,11,151],[235,554,32,10,161],[240,546,36,10,171],[246,538,29,11,181],[251,529,36,10,191],[257,521,29,11,201],[262,512,36,10,211],[268,504,32,10,221],[273,496,33,11,231],[279,487,32,10,241],[284,479,36,10,251],[290,471,36,10,261],[296,463,29,11,271],[301,454,36,10,281],[307,446,36,10,291],[313,438,32,10,301],[318,430,33,11,311],[324,421,36,10,321],[330,413,36,10,331],[336,405,32,10,341],[341,397,36,10,351],[347,389,36,10,361],[353,381,36,10,371],[359,373,36,10,381],[365,365,36,10,391],[371,357,36,10,401],[377,349,36,10,411],[383,341,36,10,421],[389,333,41,11,431],[396,325,36,10,441],[402,317,36,10,451],[408,309,36,10,461],[414,301,45,10,471],[421,294,36,10,481],[427,286,36,10,491],[433,278,45,10,501],[440,271,36,10,511],[446,263,45,10,521],[453,256,41,11,531],[460,248,40,10,542],[466,241,41,11,551],[473,233,45,10,562],[480,226,36,10,572],[486,218,45,10,582],[493,211,45,10,591],[500,204,45,10,601],[507,197,41,11,611],[514,189,45,10,622],[521,182,45,10,632],[528,175,45,10,642],[535,168,45,10,652],[542,161,48,11,661],[550,154,45,10,672],[557,147,45,10,682],[564,140,49,10,692],[571,134,48,11,701],[579,127,45,10,712],[586,120,45,10,722],[593,113,48,11,732],[601,106,49,10,742],[608,100,45,10,751],[615,93,48,11,761],[623,86,45,10,772],[630,79,45,10,782],[637,72,53,10,792],[645,66,45,10,802],[652,59,45,10,812],[659,52,48,11,822],[667,45,45,10,832],[674,38,45,10,842],[681,31,45,10,852],[688,24,45,10,862],[695,17,48,11,872],[703,10,45,10,882],[710,3,45,10,892],[717,-4,45,10,902],[724,-11,45,10,912],[731,-18,45,10,922],[738,-25,45,10,932],[745,-32,41,11,942],[752,-40,45,10,952],[759,-47,45,10,962],[766,-54,40,10,972],[772,-61,41,11,981],[779,-69,41,11,992],]"
5,"[[250,690,23,10,0],[254,681,16,11,10],[257,671,18,10,21],[260,662,18,10,30],[263,653,16,11,40],[266,643,23,10,50],[270,634,16,11,60],[273,624,23,10,70],[277,615,16,11,80],[280,605,23,10,91],[284,596,18,10,101],[287,587,21,11,110],[291,577,18,10,121],[294,568,23,10,130],[298,559,23,10,140],[302,550,21,11,150],[306,540,23,10,161],[310,531,23,10,171],[314,522,23,10,181],[318,513,23,10,190],[322,504,29,11,200],[327,495,23,10,211],[331,486,23,10,220],[335,477,29,11,230],[340,468,29,11,241],[345,459,23,10,251],[349,450,32,10,261],[354,442,29,11,270],[359,433,29,11,280],[364,424,36,10,291],[370,416,29,11,301],[375,407,36,10,311],[381,399,32,10,321],[386,391,36,10,330],[392,383,36,10,340],[398,375,36,10,350],[404,367,41,11,360],[411,359,36,10,371],[417,351,45,10,381],[424,344,45,10,391],[431,337,41,11,401],[438,329,45,10,411],[445,322,49,10,421],[452,316,48,11,431],[460,309,49,10,441],[467,303,48,11,450],[475,296,53,10,461],[483,290,53,10,471],[491,284,53,10,481],[499,278,53,10,491],[507,272,53,10,501],[515,266,57,10,511],[523,261,53,10,521],[531,255,53,10,531],[539,249,53,10,541],[547,243,53,10,551],[555,237,48,11,561],[563,230,53,10,571],[571,224,45,10,581],[578,217,45,10,591],[585,210,48,11,601],[593,203,40,10,612],[599,196,45,10,621],[606,189,41,11,631],[613,181,36,10,641],[619,173,36,10,651],[625,165,36,10,661],[631,157,32,10,671],[636,149,33,11,681],[642,140,32,10,692],[647,132,29,11,701],[652,123,29,11,711],[657,114,32,10,722],[662,106,23,10,731],[666,97,23,10,741],[670,88,29,11,751],[675,79,23,10,761],[679,70,21,11,771],[683,60,23,10,782],[687,51,23,10,791],[691,42,18,10,801],[694,33,21,11,811],[698,23,18,10,822],[701,14,21,11,831],[705,4,18,10,842],[708,-5,18,10,851],[711,-14,21,11,861],[715,-24,18,10,872],[718,-33,16,11,881],[721,-43,18,10,892],[724,-52,16,11,901],[727,-62,16,11,911],]"
6,"[[352,681,5,11,0],[353,671,11,11,11],[355,661,11,11,21],[357,651,5,11,31],[358,641,11,11,41],[360,631,11,11,51],[362,621,12,10,61],[364,612,11,11,71],[366,602,11,11,81],[368,592,11,11,91],[370,582,12,10,101],[372,573,16,11,110],[375,563,11,11,121],[377,553,16,11,131],[380,543,18,10,142],[383,534,11,11,151],[385,524,18,10,161],[388,515,16,11,171],[391,505,18,10,181],[394,496,21,11,191],[398,486,18,10,201],[401,477,21,11,211],[405,467,18,10,222],[408,458,23,10,231],[412,449,23,10,241],[416,440,23,10,251],[420,431,21,11,261],[424,421,29,11,271],[429,412,23,10,282],[433,403,32,10,292],[438,395,29,11,301],[443,386,23,10,311],[447,377,29,11,321],[452,368,32,10,331],[457,360,29,11,341],[462,351,29,11,351],[467,342,36,10,361],[473,334,29,11,371],[478,325,32,10,382],[483,317,29,11,391],[488,308,32,10,402],[493,300,29,11,411],[498,291,29,11,421],[503,282,32,10,432],[508,274,29,11,441],[513,265,29,11,451],[518,256,29,11,462],[523,247,32,10,472],[528,239,23,10,481],[532,230,29,11,491],[537,221,23,10,501],[541,212,29,11,511],[546,203,23,10,522],[550,194,23,10,531],[554,185,23,10,541],[558,176,21,11,551],[562,166,23,10,562],[566,157,23,10,572],[570,148,23,10,582],[574,139,16,11,591],[577,129,23,10,602],[581,120,18,10,612],[584,111,16,11,621],[587,101,23,10,632],[591,92,16,11,642],[594,82,18,10,652],[597,73,16,11,661],[600,63,18,10,672],[603,54,16,11,681],[606,44,11,11,692],[608,34,18,10,702],[611,25,16,11,711],[614,15,11,11,722],[616,5,18,10,732],[619,-4,11,11,742],[621,-14,16,11,752],[624,-24,12,10,762],[626,-33,11,11,771],[628,-43,16,11,782],[631,-53,16,11,792],]"
7,"[[450,690,6,10,0],[451,681,5,11,10],[452,671,5,11,20],[453,661,0,10,30],[453,651,5,11,40],[454,641,5,11,50],[455,631,5,11,60],[456,621,5,11,70],[457,611,5,11,80],[458,601,0,10,90],[458,591,5,11,100],[459,581,5,11,110],[460,571,5,11,120],[461,561,5,11,130],[462,551,5,11,140],[463,541,5,11,150],[464,531,5,11,160],[465,521,5,11,170],[466,511,11,11,180],[468,501,5,11,191],[469,491,5,11,201],[470,481,5,11,211],[471,471,5,11,221],[472,461,6,10,231],[473,452,11,11,240],[475,442,5,11,250],[476,432,5,11,260],[477,422,5,11,270],[478,412,5,11,280],[479,402,11,11,290],[481,392,5,11,300],[482,382,5,11,310],[483,372,11,11,320],[485,362,5,11,331],[486,352,5,11,341],[487,342,11,11,351],[489,332,6,10,361],[490,323,5,11,370],[491,313,11,11,380],[493,303,5,11,390],[494,293,5,11,400],[495,283,11,11,410],[497,273,5,11,421],[498,263,11,11,431],[500,253,5,11,441],[501,243,5,11,451],[502,233,11,11,461],[504,223,6,10,471],[505,214,5,11,480],[506,204,11,11,490],[508,194,5,11,500],[509,184,11,11,510],[511,174,5,11,521],[512,164,5,11,531],[513,154,11,11,541],[515,144,5,11,551],[516,134,5,11,561],[517,124,11,11,571],[519,114,6,10,581],[520,105,5,11,590],[521,95,11,11,600],[523,85,5,11,611],[524,75,5,11,621],[525,65,11,11,631],[527,55,5,11,641],[528,45,5,11,651],[529,35,11,11,661],[531,25,5,11,671],[532,15,5,11,681],[533,5,5,11,691],[534,-5,5,11,701],[535,-15,12,10,711],[537,-24,5,11,721],[538,-34,5,11,731],[539,-44,5,11,741],[540,-54,5,11,751],[541,-64,5,11,761],]"
8,"[[550,690,0,9,0],[550,681,355,11,9],[549,671,0,10,20],[549,661,355,11,30],[548,651,355,11,40],[547,641,0,10,50],[547,631,355,11,60],[546,621,355,11,70],[545,611,0,10,80],[545,601,355,11,90],[544,591,0,10,100],[544,581,355,11,110],[543,571,355,11,120],[542,561,355,11,130],[541,551,0,10,140],[541,541,355,11,150],[540,531,355,11,160],[539,521,0,10,170],[539,511,355,11,180],[538,501,355,11,190],[537,491,0,10,200],[537,481,355,11,210],[536,471,355,11,220],[535,461,355,11,230],[534,451,0,10,240],[534,441,355,11,250],[533,431,355,11,260],[532,421,355,11,270],[531,411,355,11,280],[530,401,0,10,290],[530,391,355,11,300],[529,381,355,11,311],[528,371,355,11,321],[527,361,355,11,331],[526,351,355,11,341],[525,341,355,11,351],[524,331,355,11,361],[523,321,355,11,371],[522,311,355,11,381],[521,301,355,11,391],[520,291,354,10,401],[519,282,355,11,410],[518,272,355,11,420],[517,262,355,11,430],[516,252,355,11,440],[515,242,349,11,450],[513,232,355,11,460],[512,222,355,11,470],[511,212,355,11,481],[510,202,349,11,491],[508,192,355,11,501],[507,182,355,11,511],[506,172,349,11,521],[504,162,354,10,531],[503,153,349,11,540],[501,143,355,11,550],[500,133,349,11,560],[498,123,355,11,571],[497,113,349,11,581],[495,103,349,11,591],[493,93,355,11,601],[492,83,349,11,611],[490,73,348,10,621],[488,64,355,11,631],[487,54,349,11,641],[485,44,349,11,651],[483,34,355,11,661],[482,24,349,11,671],[480,14,348,10,681],[478,5,349,11,690],[476,-5,355,11,701],[475,-15,349,11,711],[473,-25,349,11,721],[471,-35,349,11,731],[469,-45,349,11,741],[467,-55,354,10,751],[466,-64,354,10,761],]"
9,"[[650,690,354,10,0],[649,681,355,11,10],[648,671,349,11,20],[646,661,355,11,30],[645,651,349,11,40],[643,641,355,11,50],[642,631,349,11,60],[640,621,355,11,70],[639,611,349,11,80],[637,601,354,10,91],[636,592,349,11,100],[634,582,349,11,110],[632,572,349,11,120],[630,562,349,11,130],[628,552,349,11,140],[626,542,348,10,151],[624,533,349,11,160],[622,523,349,11,170],[620,513,349,11,180],[618,503,348,10,190],[616,494,344,11,200],[613,484,349,11,210],[611,474,342,10,220],[608,465,344,11,230],[605,455,344,11,240],[602,445,342,10,251],[599,436,344,11,260],[596,426,342,10,271],[593,417,337,10,280],[589,408,339,11,290],[585,398,337,10,301],[581,389,337,10,311],[577,380,337,10,320],[573,371,337,10,330],[569,362,331,11,340],[564,353,337,10,350],[560,344,331,11,360],[555,335,331,11,371],[550,326,334,9,381],[546,318,331,11,390],[541,309,331,11,400],[536,300,331,11,410],[531,291,337,10,421],[527,282,328,10,430],[522,274,331,11,440],[517,265,331,11,450],[512,256,337,10,461],[508,247,331,11,470],[503,238,337,10,481],[499,229,331,11,490],[494,220,337,10,501],[490,211,337,10,511],[486,202,331,11,520],[481,193,337,10,531],[477,184,337,10,541],[473,175,337,10,550],[469,166,337,10,560],[465,157,337,10,570],[461,148,339,11,580],[457,138,337,10,591],[453,129,337,10,601],[449,120,337,10,610],[445,111,339,11,620],[441,101,337,10,631],[437,92,342,10,641],[434,83,337,10,650],[430,74,339,11,660],[426,64,342,10,671],[423,55,337,10,681],[419,46,339,11,690],[415,36,342,10,701],[412,27,337,10,711],[408,18,344,11,721],[405,8,342,10,731],[402,-1,339,11,740],[398,-11,342,10,751],[395,-20,337,10,761],[391,-29,344,11,771],[388,-39,342,10,781],[385,-48,339,11,790],[381,-58,342,10,801],[378,-67,342,10,811],]"
10,"[[750,690,342,10,0],[747,681,344,11,10],[744,671,342,10,20],[741,662,344,11,30],[738,652,342,10,40],[735,643,342,10,50],[732,634,339,11,59],[728,624,342,10,70],[725,615,344,11,80],[722,605,337,10,90],[718,596,344,11,100],[715,586,337,10,110],[711,577,337,10,120],[707,568,344,11,130],[704,558,337,10,140],[700,549,337,10,150],[696,540,337,10,160],[692,531,337,10,170],[688,522,339,11,180],[684,512,337,10,191],[680,503,337,10,200],[676,494,337,10,210],[672,485,337,10,220],[668,476,331,11,230],[663,467,337,10,240],[659,458,331,11,250],[654,449,337,10,260],[650,440,331,11,270],[645,431,328,10,281],[640,423,337,10,290],[636,414,331,11,300],[631,405,331,11,310],[626,396,328,10,320],[621,388,327,11,330],[615,379,328,10,341],[610,371,331,11,350],[605,362,324,10,360],[599,354,328,10,370],[594,346,327,11,380],[588,337,324,10,391],[582,329,324,10,401],[576,321,328,10,411],[571,313,324,10,420],[565,305,324,10,430],[559,297,324,10,440],[553,289,319,11,450],[546,281,324,10,461],[540,273,324,10,471],[534,265,320,10,481],[528,258,319,11,490],[521,250,324,10,501],[515,242,324,10,511],[509,234,315,10,521],[502,227,324,10,531],[496,219,319,11,541],[489,211,320,10,551],[483,204,324,10,560],[477,196,319,11,570],[470,188,324,10,581],[464,180,320,10,591],[458,173,319,11,600],[451,165,324,10,611],[445,157,324,10,621],[439,149,320,10,631],[433,142,319,11,640],[426,134,324,10,651],[420,126,324,10,661],[414,118,324,10,671],[408,110,324,10,681],[402,102,324,10,691],[396,94,324,10,701],[390,86,324,10,711],[384,78,331,11,721],[379,69,324,10,731],[373,61,324,10,741],[367,53,328,10,751],[362,45,327,11,760],[356,36,328,10,771],[351,28,327,11,781],[345,19,328,10,791],[340,11,328,10,801],[335,3,327,11,810],[329,-6,331,11,821],[324,-15,328,10,831],[319,-23,331,11,841],[314,-32,328,10,851],[309,-40,331,11,861],[304,-49,331,11,871],[299,-58,328,10,881],[294,-66,328,10,891],]"
